iter	Passed	Remaining
0	5	4172
1	9	3297
2	12	2990
3	16	2927
4	20	2829
5	24	2777
6	27	2760
7	32	2770
8	35	2727
9	39	2735
10	43	2712
11	47	2708
12	51	2700
13	54	2689
14	58	2680
15	62	2655
16	65	2646
17	69	2629
18	72	2615
19	76	2606
20	81	2622
21	85	2649
22	89	2641
23	93	2639
24	97	2643
25	102	2653
26	106	2658
27	110	2650
28	114	2654
29	119	2659
30	122	2648
31	126	2647
32	130	2645
33	136	2667
34	140	2671
35	144	2662
36	149	2673
37	152	2662
38	156	2653
39	160	2647
40	164	2649
41	168	2643
42	172	2632
43	176	2628
44	180	2624
45	184	2630
46	188	2619
47	192	2612
48	196	2609
49	200	2610
50	204	2600
51	209	2609
52	213	2607
53	217	2602
54	221	2593
55	225	2588
56	230	2596
57	234	2597
58	238	2593
59	242	2589
60	249	2612
61	255	2629
62	259	2627
63	264	2631
64	268	2622
65	272	2613
66	275	2605
67	280	2605
68	283	2597
69	287	2589
70	291	2581
71	295	2574
72	298	2566
73	304	2572
74	307	2564
75	311	2559
76	315	2552
77	318	2543
78	322	2537
79	326	2529
80	330	2525
81	334	2519
82	337	2511
83	341	2503
84	345	2496
85	348	2488
86	352	2481
87	355	2473
88	359	2468
89	363	2462
90	366	2454
91	370	2446
92	373	2439
93	377	2432
94	380	2426
95	384	2420
96	388	2415
97	392	2409
98	395	2403
99	399	2397
100	403	2390
101	406	2384
102	410	2378
103	413	2372
104	417	2365
105	420	2359
106	424	2354
107	429	2352
108	432	2346
109	436	2342
110	440	2339
111	444	2335
112	448	2329
113	452	2324
114	456	2322
115	460	2317
116	463	2311
117	467	2306
118	471	2299
119	475	2295
120	478	2288
121	481	2282
122	485	2277
123	489	2272
124	493	2268
125	496	2262
126	500	2256
127	503	2250
128	507	2246
129	511	2241
130	514	2236
131	518	2230
132	521	2225
133	525	2221
134	529	2216
135	533	2210
136	536	2206
137	540	2201
138	543	2195
139	547	2189
140	550	2183
141	554	2178
142	557	2173
143	561	2167
144	564	2161
145	568	2155
146	572	2154
147	575	2148
